name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Mansae Korean BBQ & Bar,"Korean, Korean BBQ",4.5,-37.80956304,144.9596073,BBQ,normal,"120 A'Beckett Street, CBD, Melbourne",$50.00 ,Mansae Korean BBQ & Bar
Pick-A-Stick by Dainty Sichuan,"Asian, BBQ, Chinese",3.8,-37.81071449,144.9624029,BBQ,normal,"Melbourne Central, ELLA Dining Precinct, Corner of Elizabeth and La Trobe Street, CBD, Melbourne",$15.00 ,Pick-A-Stick by Dainty Sichuan
Minh Xuong Seafood & BBQ,"Chinese, BBQ",3.2,-37.81165322,144.9674293,BBQ,normal,"209 Russell Street, CBD, Melbourne",$20.00 ,Minh Xuong Seafood & BBQ
Wagyu One,"Japanese, Japanese BBQ",4.3,-37.81230456,144.9697002,BBQ,normal,"122 Bourke Street, CBD, Melbourne",$60.00 ,Wagyu One
New Kum Den BBQ,"Chinese, BBQ, Cantonese",3.5,-37.81168395,144.9671229,BBQ,normal,"7-9 Waratah Place, CBD, Melbourne",$35.00 ,New Kum Den BBQ
Parrot Seafood BBQ House,"BBQ, Chinese, Seafood",3.9,-37.78849578,144.9313412,BBQ,normal,"293 Racecourse Road, Flemington, Melbourne",$40.00 ,Parrot Seafood BBQ House
Rice Paper Scissors,"Asian Fusion, Tapas",4.8,-37.814313,144.961402,BBQ,normal,"15 Hardware Lane, CBD, Melbourne",$40.00 ,Rice Paper Scissors
G2 Korean BBQ,"Korean BBQ, Korean",4,-37.81158462,144.9618232,BBQ,normal,"301 Elizabeth Street, CBD, Melbourne",$45.00 ,G2 Korean BBQ
Nana Thai Style Hotpot & BBQ,"Thai, BBQ, Hot Pot",3.5,-37.81271087,144.9685803,BBQ,normal,"169 Bourke Street, CBD, Melbourne",$0.00 ,Nana Thai Style Hotpot & BBQ
Paik's BBQ ,"Korean BBQ, Korean",4.2,-37.81295668,144.9562734,BBQ,normal,"525 Little Lonsdale Street, Lonsdale Street, CBD, Melbourne",$40.00 ,Paik's BBQ
Melbourne Dae Jang Geum Korean BBQ,"Korean BBQ, Korean",4,-37.81241686,144.9657925,BBQ,normal,"235 Little Bourke Street, CBD, Melbourne",$40.00 ,Melbourne Dae Jang Geum Korean BBQ
Chin Chin,"Thai, Asian Fusion",4.6,-37.81556458,144.9703757,BBQ,normal,"125 Flinders Lane, CBD, Melbourne",$67.50 ,Chin Chin
Tao's Asian BBQ Kitchen CBD,"Asian, BBQ",3.8,-37.81305389,144.9556689,BBQ,normal,"466-468 Little Lonsdale Street, CBD",$30.00 ,Tao's Asian BBQ Kitchen CBD
Khabbay Restaurant,"Indian, Pakistani, BBQ",4,-37.79008209,144.9716575,BBQ,normal,"645 Rathdowne Street, Carlton North, Melbourne",$25.00 ,Khabbay Restaurant
No. 1 Delicious Hot Pot & BBQ,"Chinese, Hot Pot, BBQ",3.7,-37.80565666,144.9629393,BBQ,normal,"551 Swanston Street, Carlton, Melbourne",$30.00 ,No. 1 Delicious Hot Pot & BBQ
ChangGo,"Korean BBQ, Korean",4.5,-37.80954264,144.961783,BBQ,normal,"70 Little La Trobe Street, CBD, Melbourne",$35.00 ,ChangGo
Tetsujin,"Sushi, Japanese, Japanese BBQ",4.2,-37.81224946,144.9643441,BBQ,normal,"Emporium Melbourne, Level 4, 287 Lonsdale Street, CBD, Melbourne",$75.00 ,Tetsujin
Maha Restaurant,Middle Eastern,4.7,-37.81816682,144.9626845,BBQ,normal,"21 Bond Street, CBD, Melbourne",$150.00 ,Maha Restaurant
Smokestak,"American, BBQ, Sandwich",2.9,-37.81596373,144.9608864,BBQ,normal,"408 Little Collins Street, CBD, Melbourne",$17.50 ,Smokestak
Panda BBQ Restaurant Bar,"Chinese, BBQ",3.6,-37.81288543,144.9671135,BBQ,normal,"Level 2, 202 Bourke Street, CBD, Melbourne",$35.00 ,Panda BBQ Restaurant Bar
Asian BBQ House,"Asian, BBQ, Chinese",3.2,-37.80895062,144.9689636,BBQ,normal,"Level 1, 295 Exhibition Street, CBD, Melbourne",$25.00 ,Asian BBQ House
Famous Hotpot & BBQ,"Chinese, Hot Pot",3.8,-37.8114641,144.9690729,BBQ,normal,"113 Little Bourke Street, CBD, Melbourne",$40.00 ,Famous Hotpot & BBQ
Hawker Chan,Chinese,3.5,-37.81079395,144.9678384,BBQ,normal,"157 Lonsdale Street, CBD, Melbourne",$25.00 ,Hawker Chan
Meat the Challenge,"American, BBQ",3.1,-37.8151355,144.9647257,BBQ,normal,"St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne",$25.00 ,Meat the Challenge
Zen Charcoal BBQ,"Korean, Korean BBQ, Japanese BBQ, Hot Pot",4.3,-37.83987856,144.9977286,BBQ,normal,"306 Toorak Road, South Yarra, Melbourne",$40.00 ,Zen Charcoal BBQ
BBQ Brothers 10,"Korean, Korean BBQ",4.1,-37.80454222,144.9583829,BBQ,normal,"589 Elizabeth Street, CBD, Melbourne",$50.00 ,BBQ Brothers 10
Saint Dreux,"Japanese, Sandwich, Coffee and Tea",4.1,-37.81517708,144.9647713,BBQ,normal,"St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne",$27.50 ,Saint Dreux
OhGam Korean BBQ Buffet,"Korean BBQ, Korean",3.5,-37.81065542,144.9682347,BBQ,normal,"Shop 1, 139 Lonsdale Street, CBD, Melbourne",$40.00 ,OhGam Korean BBQ Buffet
Hallah,"Korean BBQ, Korean",4.1,-37.80593295,144.9575172,BBQ,normal,"268 Victoria Street, North Melbourne, Melbourne",$30.00 ,Hallah
Queen Street Rescue,"Modern Australian, Cafe Food",4.2,-37.81425057,144.9602028,BBQ,normal,"Shop 1, 189 Queen Street, CBD, Melbourne",$47.50 ,Queen Street Rescue
SamSam,Korean,4,-37.81288543,144.9652101,BBQ,normal,"209 Swanston Street, CBD, Melbourne",$30.00 ,SamSam
B'cos,"Brazilian, Salad",4.2,-37.8155463,144.9630148,BBQ,normal,"4 Equitable Place, CBD, Melbourne",$22.50 ,B'cos
Soolzip Korean BBQ,"Korean BBQ, Korean",4.1,-37.80596501,144.9555783,BBQ,normal,"179-181 Victoria Street, West Melbourne, Melbourne",$35.00 ,Soolzip Korean BBQ
Seorae Galmaegi,"Korean, Korean BBQ",3.9,-37.81058019,144.9661995,BBQ,normal,"QV Centre, Level 2, 26-28 Artemis Lane, CBD, Melbourne",$40.00 ,Seorae Galmaegi
