name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Dainty Sichuan,"Chinese, Sichuan, Hot Pot",4.5,-37.83929234,144.9929998,Chinese,normal,"176 Toorak Road, South Yarra, Melbourne",$60.00
Plus 852 Cafe,"Chinese, Coffee and Tea",3.5,-37.8088497,144.9594196,Chinese,normal,"5A/155 Franklin Street, CBD, Melbourne",$25.00
Panda Hot Pot ,"Chinese, Hot Pot",4.3,-37.80671069,144.9642291,Chinese,normal,"100 Victoria Street, Carlton, Melbourne",$40.00
Bamboo House,Chinese,4.3,-37.81086123,144.9711412,Chinese,normal,"47 Little Bourke Street, CBD, Melbourne",$65.00
Nong Tang Noodle House,"Chinese, Shanghai, Dumplings",3.9,-37.81242613,144.9673378,Chinese,normal,"Midcity Arcade, Ground Level, Shop 16-17, 200 Bourke Street, CBD, Melbourne",$30.00
Xiao Jun Gan Hot Pot,"Chinese, Hot Pot",4.3,-37.8114935,144.9670243,Chinese,normal,"11 Waratah Place, CBD, Melbourne",$40.00
Shanghai Street on Bourke,"Chinese, Dumplings",4.1,-37.81429083,144.9627707,Chinese,normal,"Terrace, 360 Bourke Street, CBD, Melbourne",$40.00
"Shanghai Street Dumplings, Wontons and Noodle","Dumplings, Chinese",4.2,-37.80859487,144.9669948,Chinese,normal,"64 La Trobe Street, CBD, Melbourne",$20.00
GO Noodle House ,Chinese,3.8,-37.81127815,144.9700653,Chinese,normal,"195 Exhibition Street, CBD, Melbourne",$22.50
Silks,"Chinese, Seafood, Yum Cha",4.1,-37.82216549,144.9601374,Chinese,normal,"Crown Melbourne, Crown Towers, Level 1, 8 Whiteman Street, Southbank, Melbourne",$80.00
Tanghuo Kungfu,"Chinese, Malatang",3.9,-37.81209981,144.9620498,Chinese,normal,"277 Elizabeth Street, CBD, Melbourne",$20.00
Heyday Hong Kong Cafe,Chinese,4.1,-37.81184367,144.9662904,Chinese,normal,"16 Celestial Avenue, CBD, Melbourne",$17.50
Gold Leaf,"Chinese, Yum Cha",4.1,-37.81235223,144.9372816,Chinese,normal,"The District, First Floor, 440 Docklands Drive, Docklands, Melbourne",$50.00
Kim Sing,Chinese,4.2,-37.81739079,144.9637631,Chinese,normal,"310 Flinders Lane, Melbourne CBD",$15.00
North East China Family,"Chinese, Dumplings",4,-37.81729174,144.9641007,Chinese,normal,"302 Flinders Lane, CBD, Melbourne",$40.00
Crazy Wing,Chinese,2.7,-37.81228734,144.9677385,Chinese,normal,"177 Russell Street, CBD, Melbourne",$20.00
Myong Tofu,"Malaysian, Chinese",4.7,-37.78810762,144.9302398,Chinese,normal,"314 Racecourse Road, Flemington, Melbourne",$35.00
Da Long Yi Hotpot ,"Hot Pot, Chinese, Asian",3.9,-37.80936199,144.961109,Chinese,normal,"398 Elizabeth Street, CBD, Melbourne",$30.00
Man Tong Kitchen,Chinese,3.7,-37.82400505,144.9574924,Chinese,normal,"Crown Melbourne, Level 1, 8 Whiteman Street, Southbank, Melbourne",$37.50
China Bar,"Chinese, Asian, Yum Cha",2.1,-37.8120953,144.9648444,Chinese,normal,"257-259 Swanston Street, CBD, Melbourne",$25.00
Cupanda Kitchen ,"Chinese, Dumplings, Hot Pot",3.7,-37.80946609,144.9601176,Chinese,normal,"106 A'Beckett Street, CBD, Melbourne",$27.50
Spice Up Hot Pot Dips,"Chinese, Malatang",4,-37.80938292,144.9622862,Chinese,normal,"Shop 1, 46 Little La Trobe Street, CBD, Melbourne",$15.00
Shandong Mama Mini,"Chinese, Asian",4,-37.81681949,144.9655967,Chinese,normal,"5 Centre Place, CBD, Melbourne",$30.00
Hi Chong Qing,"Chinese, Ramen",4.1,-37.80635176,144.9652832,Chinese,normal,"26 Orr Street, Carlton, Melbourne",$20.00
Ta-Ta House,"Chinese, Dumplings",3.7,-37.81224099,144.9677076,Chinese,normal,"179 Russell Street, CBD, Melbourne",$30.00
No.1 Delicious,Chinese,3.9,-37.80786934,144.9618282,Chinese,normal,"83 Franklin Street, CBD, Melbourne",$35.00
Little Sichuan by Dainty Sichuan,"Chinese, Malatang",3.7,-37.81071502,144.9650519,Chinese,normal,"QV Centre, 27 Red Cape Lane, CBD, Melbourne",$27.50
Lucky Chan,"Asian, Chinese, Yum Cha",2.6,-37.82329821,144.9578666,Chinese,normal,"Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne",$50.00
Shanghai Street on Russell,Chinese,3.7,-37.81243064,144.9678105,Chinese,normal,"167-169 Russell Street, CBD, Melbourne",$30.00
Charming Spice,"Sichuan, Chinese",3.8,-37.81165587,144.9640739,Chinese,normal,"Level 1, 276 Lonsdale Street, CBD, Melbourne",$40.00
