name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
Radii Restaurant & Bar,"European, Modern Australian",4.1,-37.8113706,144.9766954,European,normal,"Park Hyatt, 1 Parliament Square, Melbourne, East Melbourne, Melbourne",$85.00
Masani Italian Dining & Terrace,"European, Italian",3.6,-37.79843806,144.9687088,European,normal,"313 Drummond Street, Carlton, Melbourne",$60.00
Royal St. Collins,"European, Desserts, Coffee and Tea",2.9,-37.81542499,144.9650338,European,normal,"St Collins Lane, Ground Level, 260 Collins Street, CBD, Melbourne",$50.00
Sassy.x Restaurant & Bar,"European, Asian Fusion",3.8,-37.80686062,144.9426454,European,normal,"9 Dryburgh Street, West Melbourne, Melbourne",$50.00
Dmarco Espresso Bar,"European, Coffee and Tea, Cafe Food",4.1,-37.81139682,144.969501,European,normal,"Paramount Centre, Ground Level, Shop 11, 108 Little Bourke Street, CBD, Melbourne",$17.50
Omnia Bistro & Bar,European,3.5,-37.83897778,144.9955593,European,normal,"625 Chapel Street, South Yarra VIC",$80.00
Capri Cafe & Lounge,"European, Modern Australian, Australian",3.2,-37.81411655,144.9428536,European,normal,"28 Aquitania Way, Docklands, Melbourne",$50.00
Spencer & Co Wine Bar Provedore,"Bar Food, European, Mediterranean",4,-37.79022331,144.9715955,European,normal,"639 Rathdowne Street, Carlton North, Melbourne",$40.00
South Press Winehouse,"European, Italian, Spanish",3.6,-37.83836428,144.9873793,European,normal,"27 Toorak Road, South Yarra, Melbourne",$35.00
Domain Brasserie,"European, Cafe Food",2.8,-37.83421926,144.9821483,European,normal,"181 Domain Road, South Yarra, Melbourne",$40.00
The Cliveden Bar & Dining,"Mediterranean, European",3.6,-37.81593777,144.9830686,European,normal,"Pullman Mebourne on the Park, 192 Wellington Parade, East Melbourne, Melbourne",$75.00
Doc Martin's,"European, Modern Australian",3.8,-37.81415708,144.9707097,European,normal,"86A Collins Street, CBD, Melbourne",$50.00
Blues Bar & Grill,"European, Tapas, Modern Australian",3.1,-37.80160465,144.9636079,European,normal,"701 Swanston Street, Carlton, Melbourne",$55.00
Stockroom567,"European, French, Italian",3.2,-37.8191338,144.9555894,European,normal,"567 Collins Street, CBD, Melbourne",$30.00
Hemingway's Wine Room,"European, French",0,-37.816107,144.984955,European,normal,"150 Wellington Parade, East Melbourne, Melbourne",$80.00
Nick and Nora's,European,0,-37.81369,144.97083,European,normal,"Entrance 11, Benson Walk, 80 Collins Street, CBD, Melbourne",$75.00
